LastChange,Title,Developer,Reviews,Price,Discount,ProtonDB,Status,Publisher
"Jun 07, 2025",Single By Choice,"AIROTS, 非魚創意",91%,$7.99,,,Playable,N/A
"Jun 07, 2025",The Edge Of,Hangover Cat Purrroduction,70%,$9.99,,,Playable,N/A
"Jun 07, 2025",스쿨라이프,parcaee,94%,Free,,,Playable,N/A
"Jun 07, 2025",Sifting Thyme: anime otome sim,Nochi Studios,100%,$9.99,,,Playable,N/A
"Jun 07, 2025",Let's take a bath with Purin 2,Parabolica Games,82%,$17.99,,,Verified,N/A
"Jun 07, 2025",Hidden Clues,Seven Sails Games,,$6.99,,,Playable,N/A
"Jun 07, 2025",Welcome to Primrose Lake 2,"Next Game, SQRT3",,$18.99,,,Playable,N/A
"Jun 07, 2025",VITAL,Icehelm,76%,$0.99,,,Playable,N/A
"Jun 07, 2025",Our Two Bedroom Story,UNICO INC.,,$29.99,,,Playable,N/A
"Jun 07, 2025",Monster Ops,Y Press Games,81%,,,,Playable,N/A
"Jun 07, 2025",Cornerpond,foolsroom,97%,$2.99,,,Unsupported,N/A
"Jun 07, 2025",Nova Hearts: The Spark,Lightbulb Crew,73%,Free,,,Playable,N/A
"Jun 07, 2025",Peach Hills Division,GatoLobo,72%,$19.99,,,Unsupported,N/A
"Jun 07, 2025",Fatal Countdown - immoral List of Desires,Secret Garden,81%,$10.99,,,Playable,N/A
"Jun 07, 2025",Elder Legacy,Honor Games,94%,$12.99,,,Playable,N/A
"Jun 07, 2025",Saihate Station,"びぶ(viv), びぶ/viv",95%,Free,,,Playable,N/A
"Jun 07, 2025",Sentimental Trickster: Yaoi BL Gay Visual Novel,"Lovenuts, Y Press Games",94%,$14.99,,,Verified,N/A
"Jun 07, 2025",MonsterxMan: Inheritance To Lust,Hexadecimalstudios,78%,,,,Unsupported,N/A
"Jun 07, 2025",Echoes of the Fey Episode 0: The Immolation,Woodsy Studio,84%,,,,Unsupported,N/A
"Jun 07, 2025",十字防守(X Defense: Timing TD),Miiou Games,,$2.99,,,Playable,N/A
"Jun 07, 2025",Pixel Dungeon VR,Suplife Games,87%,$19.99,,,Unsupported,N/A
"Jun 07, 2025",Bible Verse Challenge,Wolf and Cross Games,,$0.99,,,Playable,N/A
"Jun 07, 2025",The Vanishing,rojo.cc,63%,Free,,,Playable,N/A
"Jun 07, 2025",THE SHRiNK Season Two,OnemanVN,62%,,,,Unsupported,N/A
"Jun 07, 2025",Astral Disorder,Red Ferret Studios,75%,Free,,,Playable,N/A
